task_id;exam_id;task_number;subtask;topic_primary;topic_secondary;points;estimated_time;difficulty;proof_or_computation;official_solution_status;grading_status;source_page;current_scope_status;duplicate_family;family_relation;confidence;notes
ss18-1;ss18;1;alle;differenzierbarkeit;kompaktheit|topologie|vollstaendigkeit;12;43;mittel;proof;no_solution;estimated_scoring;2;confirmed_current;template-differentiability-definition;theorem_variant;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss18-2;ss18;2;alle;extrema;kompaktheit;4;14;mittel;proof;no_solution;estimated_scoring;3;confirmed_current;unique-ss18-2;unique;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss18-3;ss18;3;alle;zusammenhang;integralrechnung;10;36;hoch;proof;no_solution;estimated_scoring;4;confirmed_current;unique-ss18-3;unique;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss18-4;ss18;4;alle;kurven;differenzierbarkeit|stetigkeit;14;50;hoch;mixed;no_solution;estimated_scoring;5;likely_outdated;template-curve-length;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
ss18-5;ss18;5;alle;umkehrsatz;;10;36;hoch;proof;no_solution;estimated_scoring;6;confirmed_current;template-inverse-local-invertibility;theorem_variant;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges03-1;geiges03;1;alle;topologie;kompaktheit;10;12;mittel;mixed;no_solution;estimated_scoring;1;confirmed_current;template-topology-definition-classification;theorem_variant;mittel;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges03-2;geiges03;2;alle;kurven;;9;11;mittel;computation;no_solution;estimated_scoring;1;likely_outdated;template-curve-length;computational_template;mittel;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges03-3;geiges03;3;alle;extrema;;8;10;mittel;computation;no_solution;estimated_scoring;1;confirmed_current;template-critical-point-classification;computational_template;mittel;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges03-4;geiges03;4;alle;metrische-raeume;topologie;7;9;hoch;proof;no_solution;estimated_scoring;1;confirmed_current;unique-geiges03-4;unique;mittel;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges03-5;geiges03;5;alle;extrema;;12;15;hoch;mixed;no_solution;estimated_scoring;2;confirmed_current;unique-geiges03-5;unique;mittel;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges03-6;geiges03;6;alle;richtungsableitungen;differenzierbarkeit;9;11;mittel;proof;no_solution;estimated_scoring;2;confirmed_current;template-differentiability-definition;theorem_variant;mittel;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges03-7;geiges03;7;alle;richtungsableitungen;differenzierbarkeit;10;12;mittel;mixed;no_solution;estimated_scoring;2;confirmed_current;template-directional-not-total;proof_template;mittel;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges03-8;geiges03;8;alle;implizite-funktionen;;9;11;mittel;computation;no_solution;estimated_scoring;2;confirmed_current;template-implicit-function-derivatives;computational_template;mittel;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges03-9;geiges03;9;alle;lagrange;;8;10;hoch;mixed;no_solution;estimated_scoring;2;confirmed_current;template-lagrange-constrained-extrema;computational_template;mittel;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
geiges03-10;geiges03;10;alle;differentialgleichungen;;18;22;hoch;mixed;no_solution;estimated_scoring;2;unresolved;template-dgl-existence-uniqueness;proof_template;mittel;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben. Aktueller Prüfungsumfang ist wegen eines Konflikts zwischen Skript und Klausurevidenz ungeklärt.
geiges15-1;geiges15;1;alle;kurven;;unknown;18;mittel;computation;no_solution;estimated_scoring;1;likely_outdated;template-curve-length;computational_template;hoch;Eintrag bündelt die Hauptaufgabe einschließlich ihrer Teilaufgaben.
